Filename,URL,Type,Yahoo API Code,Start Date,End Date,Misc Comment
NASDAQ,,Exchange_Stock,%5EIXIC,1-Jul-14,16-Oct-14,
DOW,,Exchange_Stock,DOW,1-Jul-14,16-Oct-14,"We do not have DOW exchange data, this is DOW stock price for DOW chemical company. Could not access DOW exchange historical prices"
BOA,,Banks_Stock,BAC,1-Jul-14,16-Oct-14,
JDF,,Banks_Stock,DE,1-Jul-14,16-Oct-14,
WFB,,Banks_Stock,WFC,1-Jul-14,16-Oct-14,
GIS,,CSMRIndicators_Stock,GIS,1-Jul-14,16-Oct-14,
HSY,,CSMRIndicators_Stock,HSY,1-Jul-14,16-Oct-14,
NSN,,CSMRIndicators_Stock,NSRGF,1-Jul-14,16-Oct-14,
SBX,,CSMRIndicators_Stock,SBUX,1-Jul-14,16-Oct-14,
SWY,,CSMRIndicators_Stock,SWY,1-Jul-14,16-Oct-14,
